,0
0,"답,대답"
1,"그냥,그저"
2,"대립,대치"
3,"신선하다,새롭다,새,신"
4,오세아니아
5,"황홀,휘황하다,휘황찬란하다"
6,"못생기다,못나다,추하다,밉다"
7,"잃어버리다,분실,잃다"
8,식장
9,홍콩
10,"대답,답"
11,신호등
12,"보물,보석,보화"
13,"전달,전갈,전하다"
14,"터뜨리다,폭발,폭파"
15,레바논
16,화산
17,보석상
18,겹치다
19,장군
20,"축사,축하사"
21,"원래,본래"
22,"식,축하,잔치,행사,파티"
23,화학실험
24,"기금,기본금"
25,유행
26,신문사
27,신문
28,"오해,곡해"
29,"반짝,반짝이다"
30,세례
31,"원금,자금,원가,본전"
32,전과
33,"고백,고해"
34,맥주
35,"등대,광탑"
36,빵
37,선전
38,"대화,대담"
39,별
40,불평
41,신기록
42,행사장
43,"새해,신년"
44,"본질,본성,근성,부성,부질,본바탕,성근,솔성,천질,체성,품성,품질"
45,"고발,고자질,일러바치다"
46,날리다
47,"근본,기반,기본,기초,바탕,뿌리"
48,새어머니
49,새아버지
50,빵집
51,"광,광선,라이트,빛,조명,비추다,비치다"
52,신도시
53,혁신
54,"게우다,구토,토하다"
55,"제과점,빵집"
56,오케이
57,"망신,체면을구기다"
58,"뇌물을주다,매수"
59,"수뢰,뇌물을받다"
60,고등
61,고급
62,문법
63,"글월,문,문구,문장"
64,"배부르다,부르다"
65,불화
66,입장을바꾸다
67,불빛을켜다
68,폴란드
69,토요일
70,"땅,육지,토지"
71,삼키다
72,드레스
73,"주다,내밀다,내주다,건네주다,제공,교부"
74,어지럽다
75,어마어마하다
76,육군
77,배낭
78,"고등학교,고교"
79,"까다,벗기다"
80,문인
81,문어
82,아프리카
83,시인
84,슬그머니
85,"이불,침구,덮다"
86,"켜다,켜지다,전깃불"
87,"가입,등록"
88,"넣다,담그다"
89,감
90,물러나다
91,"붓다,부풀다,부풀리다,부어있다"
92,수제비
93,"창원,창원시"
94,도토리
95,만
96,낙하산
97,퇴직금
98,공수부대
99,등록비
100,"박학,유식"
101,"뽀뽀,입맞춤,키스,맞추다"
102,빼버리다
103,회비
104,"이어내리다,전통,내려오다"
105,"고등학생,고교생"
106,회원
107,호두
108,탈퇴
109,"틈,바닥에생기는균열"
110,유행
111,"튀르키예공화국약칭튀르키예,터키"
112,중국
113,양복을맞추다
114,"속어,비속어"
115,"호각,호루라기,휘슬"
116,"짧다,가깝다"
117,"숙부,작은아버지"
118,특수교육지원센터
119,지점
120,"일개월,달"
121,묵도
122,"저자,저작자,지은이,필자"
123,높이
124,기타
